time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	v_ground_truth	yaw_groundtruth	yawrate_groundtruth
1477010448550000	20.0341	14.4847	4.8248	1.83569	0.559518	radar	1.38569	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	4.81058	1.81888	0.542677
1477010448600000	19.9227	14.745	4.89478	1.88032	0.576626	lidar	1.24585	19.781	14.773	19.934	14.6897	-1.30687	4.62805	4.80903	1.84601	0.543759
1477010448650000	19.8566	14.9615	4.8752	1.89771	0.554744	radar	3.37318	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	4.80759	1.8732	0.544754
1477010448700000	19.8278	15.1758	4.821	1.90654	0.535417	lidar	2.12688	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	4.80628	1.90044	0.545663
1477010448750000	19.6989	15.3822	4.75694	1.97914	0.622059	radar	7.99693	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	4.80509	1.92772	0.546486
1477010448800000	19.6736	15.564	4.65116	1.98581	0.597228	lidar	3.34255	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	4.80403	1.95504	0.547223
1477010448850000	19.5831	15.7647	4.63142	2.01191	0.590502	radar	1.27337	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	4.80309	1.98241	0.547873
1477010448900000	19.4769	15.982	4.65095	2.04221	0.591209	lidar	0.0468485	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	4.80227	2.0098	0.548437
1477010448950000	19.3771	16.1879	4.65708	2.05881	0.564139	radar	1.78027	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	4.80158	2.03722	0.548915
1477010449000000	19.268	16.3652	4.60887	2.08866	0.566091	lidar	0.533547	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	4.80101	2.06467	0.549305
1477010449050000	19.1528	16.5589	4.59821	2.11818	0.569204	radar	0.246747	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	4.80057	2.09213	0.549609
1477010449100000	19.0177	16.7757	4.6466	2.14823	0.57058	lidar	0.257481	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	4.80025	2.11961	0.549826
1477010449150000	18.8615	16.968	4.65529	2.20627	0.629463	radar	6.71965	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	4.80006	2.1471	0.549957
1477010449200000	18.6791	17.2147	4.79568	2.24248	0.633423	lidar	2.0248	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	4.8	2.1746	0.55
1477010449250000	18.5776	17.417	4.777	2.22889	0.550432	radar	5.96435	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	4.80006	2.2021	0.549957
1477010449300000	18.3578	17.6162	4.8698	2.27697	0.570504	lidar	3.85412	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	4.80025	2.2296	0.549826
1477010449350000	18.2211	17.8079	4.86082	2.2813	0.524175	radar	2.40075	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	4.80057	2.25709	0.549609
1477010449400000	18.0907	17.9918	4.83038	2.29794	0.514815	lidar	0.921918	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	4.80101	2.28457	0.549305
1477010449450000	17.9158	18.1462	4.80551	2.34034	0.544029	radar	1.96714	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	4.80158	2.31204	0.548915
1477010449500000	17.7901	18.2826	4.70379	2.36172	0.538901	lidar	1.05165	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	4.80227	2.33948	0.548437
1477010449550000	17.6591	18.4612	4.67959	2.36926	0.511934	radar	6.65812	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	4.80309	2.3669	0.547873
1477010449600000	17.4587	18.6484	4.75542	2.39771	0.514272	lidar	0.547904	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	4.80403	2.3943	0.547223
1477010449650000	17.2798	18.7883	4.73183	2.43211	0.528979	radar	1.73231	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	4.80509	2.42166	0.546486
1477010449700000	17.121	18.9223	4.67815	2.45671	0.527482	lidar	0.276531	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	4.80628	2.44898	0.545663
1477010449750000	16.9536	19.0926	4.68938	2.46895	0.507173	radar	3.08393	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	4.80759	2.47627	0.544754
1477010449800000	16.7349	19.2099	4.69922	2.50932	0.522182	lidar	2.69456	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	4.80903	2.5035	0.543759
